,web-scraper-order,web-scraper-start-url,Book_name,price,condition,image-src
880,1543863142-1431,https://www.rulistings.com/Books,Management Skills 2nd Edition (RED) 2nd edition,80,Acceptable condition,https://rulistingsprod.blob.core.windows.net/rutgers/f2f63028-4c9f-4852-9fd0-74f699453a18_1530920227101thumb.jpg
881,1543863142-1610,https://www.rulistings.com/Books,Organic Chemistry Student Guide and Solutions Manual 7th edition,65,Acceptable condition,https://rulistingsprod.blob.core.windows.net/rutgers/8c8a1cc9-393a-4409-81d1-9e78bf40c62b_1527828640836thumb.jpg
882,1543863142-1954,https://www.rulistings.com/Books,Getting to Yes: Negotiating Agreement Without Giving In  1st edition,115,Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/81b64d08-a479-43b6-b835-6e804b41b3c2_1502142849985thumb.jpg
883,1543863142-1730,https://www.rulistings.com/Books,Linear Algebra Textbook with Solutions Manual 2nd edition,5,New condition,https://rulistingsprod.blob.core.windows.net/rutgers/5368bf9d-1293-4c74-9b91-6570790db7b7_1527829227156thumb.jpg
884,1543863142-2197,https://www.rulistings.com/Books,Lab notebook 1st edition,75,Acceptable condition,https://rulistingsprod.blob.core.windows.net/rutgers/5ba2513e-92c7-4d57-a86f-cb47ba6d445a_1516393007013thumb.jpg
885,1543863142-2574,https://www.rulistings.com/Books,Chemistry - Structure and Properties 1st edition,35,New condition,https://rulistingsprod.blob.core.windows.net/rutgers/e90f79d0-a385-48a9-8a9d-91636fdfaa08_1535730558135thumb.jpg
886,1543863142-2367,https://www.rulistings.com/Books,"The New Humanities Reader, Richard E. Miller and Kurt Spellmeyer 5th edition",10,Very Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/f1029ffc-6422-4c74-a4ee-ffae265f822e_1498863706288thumb.jpg
887,1543863142-1422,https://www.rulistings.com/Books,Points of Departure 3rd edition,130,New condition,https://rulistingsprod.blob.core.windows.net/rutgers/7eeac580-d988-4fd2-8016-15780de9ea67_1536761768151thumb.jpg
888,1543863142-2203,https://www.rulistings.com/Books,Corporate Governance  5th edition,140,Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/17badbf0-fe42-4130-bdef-bab7392607bd_1504577792224thumb.jpg
889,1543863142-2556,https://www.rulistings.com/Books,Linear Algebra Textbook with Solutions Manual 2nd edition,10,Very Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/4850001c-cd85-4d08-a20e-ae546110dea2_1536295799793thumb.jpg
890,1543863142-2345,https://www.rulistings.com/Books,Basic Comp: Points of Departure 3rd edition,70,Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/72a42aae-5bdd-412b-ae1f-7b8dbb812ef5_1516314205008thumb.jpg
891,1543863142-2062,https://www.rulistings.com/Books,Medical Sociology  13th edition,150,Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/452cf873-1e7a-4513-bf41-2ce3d12dd469_1536761631895thumb.jpg
892,1543863142-2571,https://www.rulistings.com/Books,Business Law 9th edition,37,New condition,https://rulistingsprod.blob.core.windows.net/rutgers/d58307c2-048b-411d-99f6-03ebad9c82f7_1535730715424thumb.jpg
893,1543863142-2825,https://www.rulistings.com/Books,Scientific and Technical Writing Books (Scientific and Technical Writing Today) (Handbook of Techical Writing Rutgers Edition) 3rd edition,115,Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/a8b525dd-a732-4077-b2f0-cc56e2ca4e9e_1504574312666thumb.jpg
894,1543863142-2079,https://www.rulistings.com/Books,Management Skills 1st edition,55,Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/dcbaec47-2184-44b9-9bee-4f36428393c6_1516756576491thumb.jpg
895,1543863142-2238,https://www.rulistings.com/Books,Linear Algebra Textbook with Solutions Manual 2nd edition,37,New condition,https://rulistingsprod.blob.core.windows.net/rutgers/d0d9a041-330e-4e7a-95b7-b880b933f871_1531846546309thumb.jpg
896,1543863142-1677,https://www.rulistings.com/Books,"Management Skills (Yellow Title)(Fall 2016, Newest Edition) 2nd edition",95,Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/fa37ea83-7929-41bc-b325-7f7d02953626_1524783124959thumb.jpg
897,1543863142-2102,https://www.rulistings.com/Books,Organic Chemistry Student Study Guide & Solution Manual 8th edition,100,Like New condition,https://rulistingsprod.blob.core.windows.net/rutgers/9ff8879b-acec-4717-94e3-282d4a8fd88c_1503949491162thumb.jpg
898,1543863142-2552,https://www.rulistings.com/Books,Finite Mathematics An Applied Approach 11th edition,15,New condition,https://rulistingsprod.blob.core.windows.net/rutgers/2ae729a8-bdb9-4a8c-a845-1842ff128bc1_1536362152358thumb.jpg
899,1543863142-2539,https://www.rulistings.com/Books,Communication and Human Behavior 6th edition,30,Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/3365b40d-45a2-4c00-b4e8-71c9e716b4b9_1537031006080thumb.jpg
900,1543863142-2876,https://www.rulistings.com/Books,Sears and salinger Thermodynamics kinetic theory and statistical thermodynamics  3rd edition,150,Very Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/42a82e2e-67ce-4d87-bd16-54c3b4935958_1502982213003thumb.jpg
901,1543863142-2457,https://www.rulistings.com/Books,Biochemistry Student Companion (8th Edition) 8th edition,75,Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/3b391bf6-720d-476f-9718-78e1b0368748_1528550618929thumb.jpg
902,1543863142-1929,https://www.rulistings.com/Books,Structure Analysis by R. C. Hibberler 9th edition,75,New condition,https://rulistingsprod.blob.core.windows.net/rutgers/a00dfdf0-e7fe-413a-be9f-6e256f1859a5_1503850061769thumb.jpg
